"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"Castilla - La Mancha";"Albacete";13642,09;7982,49;5020,98;638,62;0;"05";"2022"
"Castilla - La Mancha";"Ciudad Real";17120,42;9375,36;6751,87;993,19;0;"05";"2022"
"Castilla - La Mancha";"Cuenca";6060,18;3875,35;2013,64;171,19;0;"05";"2022"
"Castilla - La Mancha";"Guadalajara";9291,8;6562,68;2532,22;196,9;0;"05";"2022"
"Castilla - La Mancha";"Toledo";24412,77;14204,04;9281,63;927,1;0;"05";"2022"
"Cataluña";"Barcelona";185255,05;139587,17;42927,17;2740,71;0;"05";"2022"
"Cataluña";"Girona";23511,29;17031,65;6007,98;471,66;0;"05";"2022"
"Cataluña";"Lleida";13400,03;10002,12;3124,23;273,68;0;"05";"2022"
"Cataluña";"Tarragona";26818,56;18251,93;7878,87;687,76;0;"05";"2022"
"Comunitat Valenciana";"Alicante/Alacant";62426,65;35553,03;23753,05;3120,57;0;"05";"2022"
"Comunitat Valenciana";"Castellón/Castelló";21771,62;13923,78;7247,54;600,3;0;"05";"2022"
"Comunitat Valenciana";"Valencia/Valéncia";90242,14;57652,75;29224,21;3365,18;0;"05";"2022"
"Extremadura";"Badajoz";30759,21;12304,71;13071,99;1428,44;3954,07;"05";"2022"
"Extremadura";"Cáceres";17764,55;7305,49;7826,02;598,84;2034,2;"05";"2022"
"Galicia";"Coruña, A";31804,26;20663,74;10294,96;845,56;0;"05";"2022"
"Galicia";"Lugo";8058,12;4948,88;2861,42;247,82;0;"05";"2022"
"Galicia";"Ourense";8623,49;4989,16;3310,97;323,36;0;"05";"2022"
"Galicia";"Pontevedra";33241,71;21966,24;10351,47;924;0;"05";"2022"
"Madrid";"Madrid";197173,45;149138,06;44567,67;3467,72;0;"05";"2022"
"Murcia";"Murcia";51087,62;35206,41;13962,85;1918,36;0;"05";"2022"
"Navarra";"Navarra";19420,15;14869,41;4232,96;317,78;0;"05";"2022"
"País Vasco";"Araba/Álava";9585,24;7489,85;1934,38;161,01;0;"05";"2022"
"País Vasco";"Gipuzkoa";17956,38;14174,95;3511,15;270,28;0;"05";"2022"
"País Vasco";"Bizkaia";30784,14;22665,39;7499,52;619,23;0;"05";"2022"
"La Rioja";"Rioja, La";9419,52;6901,84;2369,79;147,89;0;"05";"2022"
"Ceuta";"Ceuta";2659,18;1422,98;1027,61;208,59;0;"05";"2022"
"Melilla";"Melilla";2082,59;1297,88;697,02;87,69;0;"05";"2022"
"Andalucía";"Almería";34901,7;23508,77;9443,73;1043,46;905,74;"06";"2022"
"Andalucía";"Cádiz";49309,2;23956,95;18914,41;3280,77;3157,07;"06";"2022"
"Andalucía";"Córdoba";39127,49;14539,1;15525,43;1438,69;7624,27;"06";"2022"
"Andalucía";"Granada";40913,73;18223,33;16272,33;1788,59;4629,48;"06";"2022"
"Andalucía";"Huelva";23878,93;12944,56;7374,57;988,51;2571,29;"06";"2022"
"Andalucía";"Jaén";32491,73;12395,48;12709,03;1092,57;6294,65;"06";"2022"
"Andalucía";"Málaga";56243,96;29167,75;21171,97;2472,28;3431,96;"06";"2022"
"Andalucía";"Sevilla";82718,77;37416,05;31078,29;3502,47;10721,96;"06";"2022"
"Aragón";"Huesca";5663,78;4204,43;1335,71;123,64;0;"06";"2022"
"Aragón";"Teruel";3099,39;2080,32;960,06;59,01;0;"06";"2022"
"Aragón";"Zaragoza";27777,89;19741,19;7385,64;651,06;0;"06";"2022"
"Asturias";"Asturias";28306,25;17850,92;9496,72;958,61;0;"06";"2022"
"Illes Balears";"Balears, Illes";24027,91;17309,09;6124,65;594,17;0;"06";"2022"
"Canarias";"Palmas, Las";43904,81;24808,56;16758,04;2338,21;0;"06";"2022"
"Canarias";"Santa Cruz de Tenerife";39059;21342,58;15437,25;2279,17;0;"06";"2022"
"Cantabria";"Cantabria";15769,06;10166,16;5063,74;539,16;0;"06";"2022"
"Castilla y León";"Ávila";4516,19;2530,42;1822,37;163,4;0;"06";"2022"
"Castilla y León";"Burgos";10470,67;7049,5;3192,98;228,19;0;"06";"2022"
"Castilla y León";"León";12498,5;7328,37;4765,37;404,76;0;"06";"2022"
"Castilla y León";"Palencia";4350,18;2906,77;1324,93;118,48;0;"06";"2022"
"Castilla y León";"Salamanca";9062,12;5433,75;3306,37;322;0;"06";"2022"
"Castilla y León";"Segovia";3593,76;2484,98;1024,97;83,81;0;"06";"2022"
"Castilla y León";"Soria";2080,14;1522,17;523,11;34,86;0;"06";"2022"
"Castilla y León";"Valladolid";14088,25;9931,94;3790,21;366,1;0;"06";"2022"
"Castilla y León";"Zamora";4650,21;2582,91;1888,32;178,98;0;"06";"2022"
"Castilla - La Mancha";"Albacete";12736,14;7094,42;5010,52;631,2;0;"06";"2022"
"Castilla - La Mancha";"Ciudad Real";16435,43;8793,56;6671,29;970,58;0;"06";"2022"
"Castilla - La Mancha";"Cuenca";5771,31;3657,83;1946,16;167,32;0;"06";"2022"
"Castilla - La Mancha";"Guadalajara";8612,14;5992,01;2424,42;195,71;0;"06";"2022"
"Castilla - La Mancha";"Toledo";23581,13;13698,1;8974,9;908,13;0;"06";"2022"
